cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",719048,"(+/- 3717 )",767662,"(+/- 2108 )",829149,"(+/- 3780 )",701945,"(+/- 4274 )"
People,"Sex and Age",Male,355908,"(+/- 3681 )",369928,"(+/- 1837 )",407497,"(+/- 3257 )",341372,"(+/- 4027 )"
People,"Sex and Age",Female,363140,"(+/- 3319 )",397734,"(+/- 2340 )",421652,"(+/- 3882 )",360573,"(+/- 4325 )"
People,"Sex and Age","Under 5 years",43668,"(+/- 1021 )",47263,"(+/- 1424 )",53326,"(+/- 1802 )",39070,"(+/- 2255 )"
People,"Sex and Age","5 to 9 years",42374,"(+/- 3013 )",48636,"(+/- 3133 )",56086,"(+/- 3700 )",45193,"(+/- 3317 )"
People,"Sex and Age","10 to 14 years",48605,"(+/- 2840 )",50413,"(+/- 3040 )",57866,"(+/- 3646 )",45492,"(+/- 3145 )"
People,"Sex and Age","15 to 19 years",46120,"(+/- 2754 )",50268,"(+/- 2121 )",61403,"(+/- 3131 )",47655,"(+/- 3104 )"
People,"Sex and Age","20 to 24 years",42287,"(+/- 2590 )",54236,"(+/- 2655 )",59931,"(+/- 1891 )",41456,"(+/- 2669 )"
People,"Sex and Age","25 to 34 years",89980,"(+/- 3216 )",103052,"(+/- 2265 )",114900,"(+/- 2900 )",78670,"(+/- 3812 )"
People,"Sex and Age","35 to 44 years",90309,"(+/- 3031 )",98092,"(+/- 2219 )",107510,"(+/- 2856 )",81273,"(+/- 3406 )"
People,"Sex and Age","45 to 54 years",87424,"(+/- 2925 )",91455,"(+/- 2006 )",96878,"(+/- 2619 )",86627,"(+/- 3037 )"
People,"Sex and Age","55 to 59 years",47701,"(+/- 2700 )",48365,"(+/- 2395 )",51131,"(+/- 3049 )",45280,"(+/- 2800 )"
People,"Sex and Age","60 to 64 years",48238,"(+/- 2817 )",47630,"(+/- 2780 )",45116,"(+/- 3103 )",52588,"(+/- 2525 )"
People,"Sex and Age","65 to 74 years",74758,"(+/- 1403 )",75850,"(+/- 1453 )",72961,"(+/- 1890 )",79853,"(+/- 1745 )"
People,"Sex and Age","75 to 84 years",42165,"(+/- 1742 )",36708,"(+/- 1932 )",38628,"(+/- 1984 )",44742,"(+/- 2097 )"
People,"Sex and Age","85 years and over",15419,"(+/- 1604 )",15694,"(+/- 1781 )",13413,"(+/- 1658 )",14046,"(+/- 1776 )"
People,"Sex and Age","Median age (years)",40.1,"(+/- 0.4 )",38.0,"(+/- 0.3 )",36.2,"(+/- 0.3 )",41.4,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",555824,"(+/- 3200 )",592142,"(+/- 1723 )",625792,"(+/- 2870 )",545034,"(+/- 3554 )"
People,"Sex and Age","65 years and over",132342,"(+/- 1817 )",128252,"(+/- 1877 )",125002,"(+/- 2059 )",138641,"(+/- 1933 )"
People,Race,"Total population",719048,"(+/- 3717 )",767662,"(+/- 2108 )",829149,"(+/- 3780 )",701945,"(+/- 4274 )"
People,Race,"One race",696990,"(+/- 4728 )",748665,"(+/- 3753 )",799944,"(+/- 5779 )",688602,"(+/- 4817 )"
People,Race,White,556680,"(+/- 4016 )",543432,"(+/- 4221 )",695183,"(+/- 7526 )",519725,"(+/- 4916 )"
People,Race,"Black or African American",126465,"(+/- 3034 )",178792,"(+/- 3040 )",25683,"(+/- 2233 )",136528,"(+/- 3982 )"
People,Race,"American Indian and Alaska Native",1951,"(+/- 820 )",2763,"(+/- 719 )",8771,"(+/- 1496 )",3731,"(+/- 1122 )"
People,Race,Asian,3775,"(+/- 923 )",11921,"(+/- 1244 )",25356,"(+/- 2411 )",5026,"(+/- 1991 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1837,"(+/- 868 )",366,"(+/- 348 )",8879,"(+/- 409 )",1747,"(+/- 1666 )"
People,Race,"Some other race",6282,"(+/- 1645 )",11391,"(+/- 3537 )",36072,"(+/- 6167 )",21845,"(+/- 3016 )"
People,Race,"Two or more races",22058,"(+/- 3439 )",18997,"(+/- 3349 )",29205,"(+/- 4030 )",13343,"(+/- 2788 )"
People,"Hispanic or Latino and Race","Total population",719048,"(+/- 3717 )",767662,"(+/- 2108 )",829149,"(+/- 3780 )",701945,"(+/- 4274 )"
