cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE","District 53 Estimate","District 53 MOE"
People,"Sex and Age","Total population",711905,"(+/- 5872 )",708434,"(+/- 5699 )",755811,"(+/- 6489 )",757806,"(+/- 7248 )",726072,"(+/- 9013 )",781943,"(+/- 12209 )",756668,"(+/- 12026 )",723311,"(+/- 10305 )",784956,"(+/- 7932 )",764859,"(+/- 4818 )",765504,"(+/- 7745 )",779824,"(+/- 8137 )",768889,"(+/- 4743 )",742980,"(+/- 9752 )",782312,"(+/- 8738 )",753152,"(+/- 12637 )",790519,"(+/- 12293 )",753806,"(+/- 13309 )",737535,"(+/- 14472 )",741838,"(+/- 6962 )",729460,"(+/- 17003 )",768917,"(+/- 14667 )",741557,"(+/- 16467 )",737443,"(+/- 1611 )",718949,"(+/- 12346 )",725535,"(+/- 3504 )",712783,"(+/- 11350 )",693299,"(+/- 15633 )",717659,"(+/- 23338 )",764062,"(+/- 25126 )",753576,"(+/- 12802 )",700726,"(+/- 11943 )",703908,"(+/- 14847 )",730042,"(+/- 20402 )",764643,"(+/- 11632 )",755764,"(+/- 11395 )",733668,"(+/- 22047 )",704515,"(+/- 12370 )",717176,"(+/- 10393 )",715934,"(+/- 16872 )",786719,"(+/- 9144 )",840562,"(+/- 11407 )",748092,"(+/- 17388 )",717140,"(+/- 18414 )",791311,"(+/- 8219 )",734651,"(+/- 11196 )",717594,"(+/- 12840 )",718359,"(+/- 9696 )",731366,"(+/- 11271 )",758142,"(+/- 14950 )",740797,"(+/- 17626 )",767151,"(+/- 16246 )",782599,"(+/- 19878 )"
People,"Sex and Age",Male,357401,"(+/- 4548 )",349875,"(+/- 4208 )",377848,"(+/- 4943 )",376992,"(+/- 4901 )",352954,"(+/- 6344 )",383033,"(+/- 6706 )",367249,"(+/- 6936 )",363499,"(+/- 7039 )",390823,"(+/- 5879 )",376067,"(+/- 4546 )",373815,"(+/- 5051 )",399183,"(+/- 4853 )",373607,"(+/- 4306 )",365789,"(+/- 5983 )",391156,"(+/- 5946 )",374588,"(+/- 7024 )",407258,"(+/- 8072 )",370021,"(+/- 8086 )",375536,"(+/- 9626 )",371885,"(+/- 4231 )",382173,"(+/- 9782 )",383182,"(+/- 8065 )",372479,"(+/- 9868 )",369803,"(+/- 1962 )",358149,"(+/- 8596 )",360217,"(+/- 2682 )",346223,"(+/- 7806 )",340424,"(+/- 10069 )",356367,"(+/- 14120 )",372265,"(+/- 14400 )",369798,"(+/- 8725 )",340814,"(+/- 8782 )",342527,"(+/- 10293 )",370407,"(+/- 12352 )",384501,"(+/- 8712 )",380347,"(+/- 8279 )",360575,"(+/- 12027 )",345019,"(+/- 8852 )",349184,"(+/- 7348 )",360893,"(+/- 9650 )",393346,"(+/- 7394 )",414393,"(+/- 9511 )",368161,"(+/- 11722 )",351828,"(+/- 10640 )",390428,"(+/- 7419 )",373529,"(+/- 8285 )",351892,"(+/- 8021 )",352383,"(+/- 6953 )",361895,"(+/- 8778 )",381995,"(+/- 9139 )",379440,"(+/- 9893 )",388967,"(+/- 10213 )",388611,"(+/- 12767 )"
People,"Sex and Age",Female,354504,"(+/- 3802 )",358559,"(+/- 3600 )",377963,"(+/- 4859 )",380814,"(+/- 4248 )",373118,"(+/- 6163 )",398910,"(+/- 8362 )",389419,"(+/- 7940 )",359812,"(+/- 6851 )",394133,"(+/- 6284 )",388792,"(+/- 4287 )",391689,"(+/- 5804 )",380641,"(+/- 4377 )",395282,"(+/- 4597 )",377191,"(+/- 6235 )",391156,"(+/- 6287 )",378564,"(+/- 7753 )",383261,"(+/- 8059 )",383785,"(+/- 9582 )",361999,"(+/- 8134 )",369953,"(+/- 3925 )",347287,"(+/- 9658 )",385735,"(+/- 9356 )",369078,"(+/- 9614 )",367640,"(+/- 1666 )",360800,"(+/- 9249 )",365318,"(+/- 2928 )",366560,"(+/- 7603 )",352875,"(+/- 8850 )",361292,"(+/- 12521 )",391797,"(+/- 13756 )",383778,"(+/- 8992 )",359912,"(+/- 7852 )",361381,"(+/- 7938 )",359635,"(+/- 11010 )",380142,"(+/- 8706 )",375417,"(+/- 7174 )",373093,"(+/- 14081 )",359496,"(+/- 8417 )",367992,"(+/- 6531 )",355041,"(+/- 10175 )",393373,"(+/- 7472 )",426169,"(+/- 7558 )",379931,"(+/- 10926 )",365312,"(+/- 11580 )",400883,"(+/- 7188 )",361122,"(+/- 7926 )",365702,"(+/- 8658 )",365976,"(+/- 7401 )",369471,"(+/- 8054 )",376147,"(+/- 9863 )",361357,"(+/- 10381 )",378184,"(+/- 10013 )",393988,"(+/- 10766 )"
People,"Sex and Age","Under 5 years",38507,"(+/- 2140 )",31915,"(+/- 1677 )",49703,"(+/- 2484 )",37576,"(+/- 1618 )",37005,"(+/- 3058 )",56815,"(+/- 3829 )",40471,"(+/- 3220 )",56870,"(+/- 4483 )",48921,"(+/- 2681 )",51864,"(+/- 2202 )",45659,"(+/- 2231 )",35800,"(+/- 939 )",42719,"(+/- 2918 )",35735,"(+/- 1810 )",45263,"(+/- 3556 )",59878,"(+/- 2582 )",46457,"(+/- 4033 )",44537,"(+/- 3544 )",40545,"(+/- 3469 )",47523,"(+/- 1788 )",61395,"(+/- 3798 )",58351,"(+/- 3500 )",49532,"(+/- 3532 )",40165,"(+/- 1065 )",41543,"(+/- 3995 )",41862,"(+/- 1369 )",36091,"(+/- 3393 )",30773,"(+/- 3304 )",41300,"(+/- 3809 )",41963,"(+/- 4869 )",47698,"(+/- 3788 )",40003,"(+/- 3725 )",34944,"(+/- 3612 )",39565,"(+/- 4250 )",51332,"(+/- 4792 )",36323,"(+/- 3661 )",37461,"(+/- 3288 )",37040,"(+/- 3621 )",40403,"(+/- 4122 )",52896,"(+/- 5256 )",53749,"(+/- 4944 )",58854,"(+/- 4405 )",51921,"(+/- 4482 )",50026,"(+/- 4833 )",45176,"(+/- 4582 )",47310,"(+/- 3724 )",41196,"(+/- 3876 )",40072,"(+/- 3903 )",46321,"(+/- 4427 )",50890,"(+/- 4902 )",50548,"(+/- 4302 )",41145,"(+/- 3462 )",46228,"(+/- 4977 )"
People,"Sex and Age","5 to 9 years",39993,"(+/- 2592 )",34891,"(+/- 2708 )",47693,"(+/- 3110 )",41313,"(+/- 3069 )",39358,"(+/- 3350 )",57637,"(+/- 4575 )",45559,"(+/- 3586 )",56334,"(+/- 4947 )",53903,"(+/- 3890 )",53168,"(+/- 3556 )",47824,"(+/- 3934 )",28753,"(+/- 2502 )",36153,"(+/- 3782 )",37508,"(+/- 2185 )",49917,"(+/- 3377 )",59482,"(+/- 4208 )",42967,"(+/- 3657 )",44620,"(+/- 3366 )",41170,"(+/- 3195 )",49406,"(+/- 2957 )",61494,"(+/- 4988 )",63797,"(+/- 5294 )",49890,"(+/- 4794 )",36675,"(+/- 2535 )",45705,"(+/- 4305 )",41880,"(+/- 2337 )",33677,"(+/- 3251 )",27433,"(+/- 2859 )",46170,"(+/- 4276 )",36524,"(+/- 4075 )",49999,"(+/- 4103 )",36991,"(+/- 3399 )",34508,"(+/- 3877 )",35563,"(+/- 4027 )",55659,"(+/- 4403 )",39369,"(+/- 3960 )",40086,"(+/- 4262 )",40121,"(+/- 3447 )",39455,"(+/- 3377 )",51570,"(+/- 4264 )",55391,"(+/- 4450 )",61776,"(+/- 4476 )",48552,"(+/- 4412 )",49256,"(+/- 3504 )",44181,"(+/- 3733 )",48386,"(+/- 3903 )",40206,"(+/- 3590 )",36645,"(+/- 3364 )",40219,"(+/- 4195 )",48407,"(+/- 4147 )",48369,"(+/- 3219 )",40795,"(+/- 4801 )",44364,"(+/- 4414 )"
People,"Sex and Age","10 to 14 years",42185,"(+/- 2692 )",43977,"(+/- 3081 )",47258,"(+/- 3263 )",48407,"(+/- 2748 )",44572,"(+/- 4071 )",51956,"(+/- 4030 )",49552,"(+/- 3981 )",57633,"(+/- 5098 )",66674,"(+/- 3860 )",61638,"(+/- 3993 )",45061,"(+/- 3298 )",27233,"(+/- 2559 )",39169,"(+/- 2965 )",38140,"(+/- 2645 )",55333,"(+/- 3650 )",67403,"(+/- 4249 )",40112,"(+/- 2862 )",53793,"(+/- 3734 )",52244,"(+/- 3309 )",51711,"(+/- 2869 )",65347,"(+/- 4593 )",63526,"(+/- 4439 )",59186,"(+/- 4511 )",46869,"(+/- 2565 )",60341,"(+/- 4666 )",54327,"(+/- 2639 )",39577,"(+/- 3169 )",31935,"(+/- 3740 )",46219,"(+/- 3646 )",40882,"(+/- 3982 )",55151,"(+/- 4690 )",45738,"(+/- 3662 )",39788,"(+/- 3475 )",41321,"(+/- 3749 )",57079,"(+/- 4901 )",49119,"(+/- 4904 )",38094,"(+/- 3612 )",47063,"(+/- 3676 )",43483,"(+/- 4114 )",63530,"(+/- 4142 )",66562,"(+/- 4279 )",64669,"(+/- 4572 )",49561,"(+/- 4441 )",54086,"(+/- 4071 )",47034,"(+/- 4036 )",48725,"(+/- 3556 )",48189,"(+/- 3898 )",41012,"(+/- 3689 )",48592,"(+/- 5331 )",52803,"(+/- 3450 )",53042,"(+/- 3595 )",41395,"(+/- 3709 )",41214,"(+/- 4019 )"
People,"Sex and Age","15 to 19 years",43824,"(+/- 3198 )",45019,"(+/- 2790 )",55188,"(+/- 3410 )",41708,"(+/- 2384 )",41730,"(+/- 3095 )",47313,"(+/- 3063 )",48624,"(+/- 2792 )",51585,"(+/- 3974 )",60214,"(+/- 3127 )",56979,"(+/- 2224 )",47177,"(+/- 2850 )",24499,"(+/- 2137 )",44909,"(+/- 2610 )",41568,"(+/- 2245 )",42988,"(+/- 2931 )",60761,"(+/- 3314 )",44402,"(+/- 3026 )",45395,"(+/- 3240 )",45255,"(+/- 3089 )",59127,"(+/- 2101 )",56945,"(+/- 4209 )",54514,"(+/- 3740 )",55445,"(+/- 3945 )",59323,"(+/- 2121 )",56181,"(+/- 4364 )",49068,"(+/- 1564 )",38272,"(+/- 2989 )",26632,"(+/- 2767 )",49379,"(+/- 4014 )",41005,"(+/- 3805 )",55347,"(+/- 4103 )",43449,"(+/- 3205 )",45115,"(+/- 3196 )",38924,"(+/- 3889 )",55996,"(+/- 3875 )",45685,"(+/- 4035 )",42017,"(+/- 4209 )",43881,"(+/- 3209 )",43260,"(+/- 3464 )",58381,"(+/- 4156 )",66008,"(+/- 4388 )",58551,"(+/- 4234 )",41540,"(+/- 3281 )",47642,"(+/- 4028 )",55623,"(+/- 3616 )",51821,"(+/- 3310 )",40184,"(+/- 3309 )",41069,"(+/- 2783 )",44385,"(+/- 3699 )",48783,"(+/- 3763 )",55174,"(+/- 3707 )",47981,"(+/- 3979 )",41604,"(+/- 4171 )"
People,"Sex and Age","20 to 24 years",44762,"(+/- 2101 )",37856,"(+/- 2408 )",63928,"(+/- 3956 )",36444,"(+/- 2504 )",44017,"(+/- 3301 )",53511,"(+/- 3737 )",40526,"(+/- 3283 )",52815,"(+/- 4203 )",50206,"(+/- 3600 )",51939,"(+/- 2419 )",44325,"(+/- 2738 )",39247,"(+/- 2297 )",52408,"(+/- 3501 )",44724,"(+/- 2667 )",38391,"(+/- 3851 )",55642,"(+/- 3051 )",44563,"(+/- 3579 )",37327,"(+/- 3533 )",50063,"(+/- 3249 )",58383,"(+/- 2072 )",59430,"(+/- 3736 )",50821,"(+/- 3507 )",44684,"(+/- 3937 )",77940,"(+/- 1935 )",45770,"(+/- 3878 )",47338,"(+/- 1898 )",40235,"(+/- 4223 )",34652,"(+/- 3551 )",54394,"(+/- 5104 )",43782,"(+/- 4113 )",53857,"(+/- 4165 )",48858,"(+/- 3848 )",40569,"(+/- 3656 )",56402,"(+/- 4362 )",59477,"(+/- 4914 )",43083,"(+/- 4259 )",57075,"(+/- 5410 )",50597,"(+/- 4258 )",46476,"(+/- 4121 )",56801,"(+/- 3858 )",67686,"(+/- 4209 )",50316,"(+/- 3472 )",48023,"(+/- 4254 )",56104,"(+/- 4659 )",49444,"(+/- 4292 )",59893,"(+/- 3809 )",46102,"(+/- 3731 )",38238,"(+/- 3520 )",50963,"(+/- 4947 )",49086,"(+/- 4160 )",55942,"(+/- 4096 )",56168,"(+/- 4901 )",57508,"(+/- 6500 )"
People,"Sex and Age","25 to 34 years",90863,"(+/- 3717 )",76151,"(+/- 2997 )",108504,"(+/- 4119 )",78118,"(+/- 3174 )",93692,"(+/- 4551 )",136424,"(+/- 5349 )",107122,"(+/- 5537 )",101159,"(+/- 6063 )",107045,"(+/- 5011 )",108822,"(+/- 3269 )",100056,"(+/- 4524 )",187060,"(+/- 3656 )",144970,"(+/- 4863 )",115997,"(+/- 4332 )",105796,"(+/- 4782 )",117441,"(+/- 5340 )",153782,"(+/- 6421 )",99854,"(+/- 5770 )",114285,"(+/- 4969 )",100315,"(+/- 2731 )",118432,"(+/- 5780 )",114355,"(+/- 4707 )",110792,"(+/- 5915 )",93435,"(+/- 1601 )",89641,"(+/- 5023 )",97345,"(+/- 2455 )",105693,"(+/- 6185 )",136814,"(+/- 6553 )",120669,"(+/- 6776 )",116171,"(+/- 7593 )",123500,"(+/- 6036 )",100179,"(+/- 5322 )",97742,"(+/- 6576 )",153274,"(+/- 6849 )",122598,"(+/- 5566 )",94086,"(+/- 5853 )",145510,"(+/- 9273 )",104181,"(+/- 6131 )",94200,"(+/- 5781 )",108005,"(+/- 6753 )",122009,"(+/- 5994 )",118922,"(+/- 6627 )",130295,"(+/- 7739 )",117502,"(+/- 6709 )",110008,"(+/- 6427 )",124686,"(+/- 5993 )",108603,"(+/- 6014 )",103649,"(+/- 5672 )",98740,"(+/- 5816 )",100762,"(+/- 5920 )",121878,"(+/- 6411 )",136009,"(+/- 7208 )",148911,"(+/- 7695 )"
People,"Sex and Age","35 to 44 years",83214,"(+/- 3179 )",85098,"(+/- 3073 )",94206,"(+/- 3741 )",95963,"(+/- 3114 )",93042,"(+/- 3862 )",109625,"(+/- 4735 )",100835,"(+/- 4994 )",85623,"(+/- 4873 )",100382,"(+/- 4849 )",100273,"(+/- 2955 )",103017,"(+/- 3815 )",129891,"(+/- 3205 )",114757,"(+/- 3551 )",104503,"(+/- 3737 )",123142,"(+/- 4740 )",99065,"(+/- 3878 )",121770,"(+/- 5018 )",106443,"(+/- 5662 )",102408,"(+/- 4503 )",95866,"(+/- 1978 )",89699,"(+/- 3948 )",102455,"(+/- 4876 )",97542,"(+/- 4794 )",83346,"(+/- 1012 )",92773,"(+/- 5060 )",90720,"(+/- 1935 )",93284,"(+/- 5020 )",110635,"(+/- 5265 )",102980,"(+/- 6159 )",106197,"(+/- 6637 )",95183,"(+/- 5559 )",95083,"(+/- 4986 )",90741,"(+/- 5312 )",105561,"(+/- 5181 )",110597,"(+/- 6236 )",86043,"(+/- 5073 )",104529,"(+/- 5510 )",94327,"(+/- 4976 )",91157,"(+/- 5040 )",94476,"(+/- 4559 )",105690,"(+/- 5688 )",114290,"(+/- 5220 )",100175,"(+/- 5405 )",88855,"(+/- 5369 )",101103,"(+/- 5690 )",101607,"(+/- 3742 )",101043,"(+/- 6513 )",90300,"(+/- 4827 )",91640,"(+/- 5530 )",96966,"(+/- 6106 )",100241,"(+/- 6189 )",100225,"(+/- 5708 )",120325,"(+/- 7173 )"
