cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population",717704,"(+/- 4135 )",774897,"(+/- 5287 )",742543,"(+/- 3409 )",761936,"(+/- 5608 )",689793,"(+/- 4480 )",780800,"(+/- 5463 )"
People,"Sex and Age",Male,357145,"(+/- 3373 )",381075,"(+/- 3050 )",358620,"(+/- 1872 )",377903,"(+/- 3402 )",343268,"(+/- 3245 )",380194,"(+/- 4034 )"
People,"Sex and Age",Female,360559,"(+/- 3862 )",393822,"(+/- 4293 )",383923,"(+/- 1931 )",384033,"(+/- 4483 )",346525,"(+/- 3459 )",400606,"(+/- 4023 )"
People,"Sex and Age","Under 5 years",42443,"(+/- 1637 )",47690,"(+/- 1349 )",45654,"(+/- 1015 )",47081,"(+/- 1759 )",41110,"(+/- 1451 )",49152,"(+/- 2321 )"
People,"Sex and Age","5 to 9 years",39759,"(+/- 2613 )",49436,"(+/- 3125 )",42031,"(+/- 2734 )",49330,"(+/- 2631 )",37775,"(+/- 2926 )",46607,"(+/- 2735 )"
People,"Sex and Age","10 to 14 years",45597,"(+/- 3020 )",51110,"(+/- 3344 )",48580,"(+/- 2800 )",50286,"(+/- 2969 )",46416,"(+/- 2856 )",50086,"(+/- 2673 )"
People,"Sex and Age","15 to 19 years",46981,"(+/- 2799 )",53207,"(+/- 2364 )",43850,"(+/- 964 )",49309,"(+/- 2249 )",45759,"(+/- 2067 )",55898,"(+/- 2568 )"
People,"Sex and Age","20 to 24 years",48768,"(+/- 2451 )",52994,"(+/- 2546 )",46552,"(+/- 864 )",46328,"(+/- 2431 )",37244,"(+/- 2730 )",62198,"(+/- 3065 )"
People,"Sex and Age","25 to 34 years",87645,"(+/- 3355 )",97166,"(+/- 2448 )",110433,"(+/- 1698 )",93557,"(+/- 2638 )",83455,"(+/- 2634 )",104436,"(+/- 2468 )"
People,"Sex and Age","35 to 44 years",84960,"(+/- 2582 )",97130,"(+/- 2871 )",93684,"(+/- 861 )",96556,"(+/- 2336 )",86464,"(+/- 2098 )",98102,"(+/- 2859 )"
