cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Sex and Age","Total population",858875,"(+/- 4327 )",841022,"(+/- 3495 )",853116,"(+/- 7394 )",820504,"(+/- 4075 )",844220,"(+/- 6187 )"
People,"Sex and Age",Male,425256,"(+/- 2978 )",419026,"(+/- 3892 )",425226,"(+/- 4496 )",403778,"(+/- 3271 )",416390,"(+/- 4374 )"
People,"Sex and Age",Female,433619,"(+/- 3758 )",421996,"(+/- 3686 )",427890,"(+/- 4889 )",416726,"(+/- 3275 )",427830,"(+/- 4141 )"
People,"Sex and Age","Under 5 years",46997,"(+/- 952 )",43219,"(+/- 1889 )",43997,"(+/- 2030 )",39441,"(+/- 1718 )",49710,"(+/- 1995 )"
People,"Sex and Age","5 to 9 years",49875,"(+/- 3191 )",51619,"(+/- 2933 )",44523,"(+/- 2815 )",36834,"(+/- 2769 )",52539,"(+/- 3049 )"
People,"Sex and Age","10 to 14 years",56596,"(+/- 3008 )",51968,"(+/- 3158 )",47259,"(+/- 2819 )",46592,"(+/- 2648 )",52474,"(+/- 3361 )"
People,"Sex and Age","15 to 19 years",51801,"(+/- 1838 )",48357,"(+/- 2637 )",44412,"(+/- 1930 )",51846,"(+/- 2072 )",53414,"(+/- 3142 )"
People,"Sex and Age","20 to 24 years",50309,"(+/- 2190 )",45517,"(+/- 2628 )",51614,"(+/- 2394 )",66514,"(+/- 2327 )",52192,"(+/- 2631 )"
People,"Sex and Age","25 to 34 years",131559,"(+/- 2205 )",101878,"(+/- 3418 )",152408,"(+/- 2380 )",102304,"(+/- 2395 )",106436,"(+/- 2845 )"
People,"Sex and Age","35 to 44 years",124597,"(+/- 2468 )",105293,"(+/- 3151 )",141210,"(+/- 2912 )",96248,"(+/- 2435 )",111498,"(+/- 2897 )"
People,"Sex and Age","45 to 54 years",109166,"(+/- 2676 )",100780,"(+/- 3311 )",110731,"(+/- 2827 )",88877,"(+/- 2381 )",101467,"(+/- 2361 )"
People,"Sex and Age","55 to 59 years",52367,"(+/- 2910 )",54120,"(+/- 3353 )",45528,"(+/- 2839 )",53791,"(+/- 3148 )",54049,"(+/- 3269 )"
People,"Sex and Age","60 to 64 years",53280,"(+/- 3065 )",56809,"(+/- 3477 )",49836,"(+/- 3153 )",59667,"(+/- 3502 )",56723,"(+/- 3117 )"
People,"Sex and Age","65 to 74 years",80445,"(+/- 1821 )",108646,"(+/- 2152 )",78429,"(+/- 2299 )",107547,"(+/- 2167 )",92192,"(+/- 2174 )"
People,"Sex and Age","75 to 84 years",34996,"(+/- 2183 )",53620,"(+/- 2374 )",30443,"(+/- 2561 )",51090,"(+/- 2504 )",44401,"(+/- 2169 )"
People,"Sex and Age","85 years and over",16887,"(+/- 1791 )",19196,"(+/- 2107 )",12726,"(+/- 1870 )",19753,"(+/- 2281 )",17125,"(+/- 2044 )"
People,"Sex and Age","Median age (years)",38.0,"(+/- 0.3 )",42.3,"(+/- 0.6 )",37.6,"(+/- 0.3 )",41.6,"(+/- 0.5 )",39.9,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",672986,"(+/- 3468 )",663819,"(+/- 3317 )",690906,"(+/- 5654 )",670572,"(+/- 3621 )",656638,"(+/- 4439 )"
People,"Sex and Age","65 years and over",132328,"(+/- 2294 )",181462,"(+/- 2837 )",121598,"(+/- 3519 )",178390,"(+/- 2341 )",153718,"(+/- 3114 )"
People,Race,"Total population",858875,"(+/- 4327 )",841022,"(+/- 3495 )",853116,"(+/- 7394 )",820504,"(+/- 4075 )",844220,"(+/- 6187 )"
People,Race,"One race",817063,"(+/- 6216 )",809697,"(+/- 5919 )",805571,"(+/- 9662 )",779864,"(+/- 5022 )",798217,"(+/- 7495 )"
People,Race,White,673842,"(+/- 8604 )",754274,"(+/- 5990 )",666779,"(+/- 9680 )",721421,"(+/- 6012 )",707537,"(+/- 11582 )"
People,Race,"Black or African American",15582,"(+/- 2244 )",6474,"(+/- 1311 )",40735,"(+/- 4184 )",7707,"(+/- 1323 )",7420,"(+/- 1463 )"
People,Race,"American Indian and Alaska Native",6052,"(+/- 2366 )",19663,"(+/- 2836 )",6973,"(+/- 1731 )",7636,"(+/- 1783 )",10093,"(+/- 2836 )"
People,Race,Asian,77304,"(+/- 3125 )",9420,"(+/- 1395 )",63470,"(+/- 4533 )",19038,"(+/- 1714 )",24836,"(+/- 2942 )"
People,Race,"Native Hawaiian and Other Pacific Islander",3425,"(+/- 680 )",2024,"(+/- 776 )",5544,"(+/- 959 )",1633,"(+/- 727 )",1556,"(+/- 1247 )"
People,Race,"Some other race",40858,"(+/- 8099 )",17842,"(+/- 4285 )",22070,"(+/- 6577 )",22429,"(+/- 4763 )",46775,"(+/- 7191 )"
People,Race,"Two or more races",41812,"(+/- 4231 )",31325,"(+/- 4168 )",47545,"(+/- 4861 )",40640,"(+/- 3921 )",46003,"(+/- 4466 )"
People,"Hispanic or Latino and Race","Total population",858875,"(+/- 4327 )",841022,"(+/- 3495 )",853116,"(+/- 7394 )",820504,"(+/- 4075 )",844220,"(+/- 6187 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",129232,"(+/- 1230 )",119711,"(+/- 2069 )",99113,"(+/- 2458 )",69429,"(+/- 2416 )",149354,"(+/- 2036 )"
People,"Hispanic or Latino and Race",Mexican,103239,"(+/- 5760 )",105020,"(+/- 3557 )",77612,"(+/- 5261 )",51483,"(+/- 3568 )",124356,"(+/- 5063 )"
People,"Hispanic or Latino and Race","Puerto Rican",4394,"(+/- 2158 )",885,"(+/- 509 )",2507,"(+/- 1085 )",2503,"(+/- 1135 )",2178,"(+/- 1010 )"
People,"Hispanic or Latino and Race",Cuban,511,"(+/- 347 )",568,"(+/- 424 )",2280,"(+/- 1035 )",1035,"(+/- 619 )",568,"(+/- 411 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",21088,"(+/- 5111 )",13238,"(+/- 3156 )",16714,"(+/- 4776 )",14408,"(+/- 2649 )",22252,"(+/- 5209 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",729643,"(+/- 4150 )",721311,"(+/- 3457 )",754003,"(+/- 7020 )",751075,"(+/- 4165 )",694866,"(+/- 5760 )"
People,"Place of Birth","Total population",858875,"(+/- 4327 )",841022,"(+/- 3495 )",853116,"(+/- 7394 )",820504,"(+/- 4075 )",844220,"(+/- 6187 )"
People,"Place of Birth",Native,734177,"(+/- 6356 )",789464,"(+/- 5941 )",737551,"(+/- 9256 )",781898,"(+/- 6124 )",764095,"(+/- 8981 )"
People,"Place of Birth","Born in United States",720956,"(+/- 6916 )",781693,"(+/- 5943 )",725431,"(+/- 9369 )",771160,"(+/- 5947 )",755540,"(+/- 9232 )"
People,"Place of Birth","State of residence",375482,"(+/- 10025 )",362675,"(+/- 9584 )",367763,"(+/- 11105 )",376940,"(+/- 8665 )",440983,"(+/- 9750 )"
People,"Place of Birth","Different state",345474,"(+/- 10654 )",419018,"(+/- 10434 )",357668,"(+/- 11232 )",394220,"(+/- 8765 )",314557,"(+/- 8750 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",13221,"(+/- 2823 )",7771,"(+/- 1517 )",12120,"(+/- 1846 )",10738,"(+/- 1749 )",8555,"(+/- 1788 )"
People,"Place of Birth","Foreign born",124698,"(+/- 6822 )",51558,"(+/- 4840 )",115565,"(+/- 7922 )",38606,"(+/- 4054 )",80125,"(+/- 6021 )"
People,Ancestry,"Total population",858875,"(+/- 4327 )",841022,"(+/- 3495 )",853116,"(+/- 7394 )",820504,"(+/- 4075 )",844220,"(+/- 6187 )"
