"County","group","percentage"
"Forsyth County, Georgia","Asian Indian",62.4860839187685
"Gwinnett County, Georgia","Asian Indian",24.5717396799471
"Los Angeles County, California","Asian Indian",6.73980658082353
"Orange County, California","Asian Indian",8.56243471475855
"San Bernardino County, California","Asian Indian",8.93571013835034
"Forsyth County, Georgia","Bangladeshi",0.383891896042075
"Gwinnett County, Georgia","Bangladeshi",1.76845748507651
"Los Angeles County, California","Bangladeshi",0.320823310439411
"Orange County, California","Bangladeshi",0.190664367787161
"San Bernardino County, California","Bangladeshi",0.387754693433531
"Forsyth County, Georgia","Bhutanese",0
"Gwinnett County, Georgia","Bhutanese",0.56096754749266
"Los Angeles County, California","Bhutanese",0.00782329955482024
"Orange County, California","Bhutanese",0
"San Bernardino County, California","Bhutanese",0
"Forsyth County, Georgia","Burmese",0.168912434258513
"Gwinnett County, Georgia","Burmese",0.743743802134982
"Los Angeles County, California","Burmese",0.313204096959934
"Orange County, California","Burmese",0.123491360324192
"San Bernardino County, California","Burmese",0.415785153199811
"Forsyth County, Georgia","Cambodian",0.10365081193136
"Gwinnett County, Georgia","Cambodian",0.735966089171479
"Los Angeles County, California","Cambodian",2.3070570243706
"Orange County, California","Cambodian",1.32647025510011
"San Bernardino County, California","Cambodian",2.33987599858513
"Forsyth County, Georgia","Chinese, except Taiwanese",13.3901493339476
"Gwinnett County, Georgia","Chinese, except Taiwanese",12.0058721732874
"Los Angeles County, California","Chinese, except Taiwanese",30.0651442752495
"Orange County, California","Chinese, except Taiwanese",15.4329591361583
"San Bernardino County, California","Chinese, except Taiwanese",23.0917597122206
"Forsyth County, Georgia","Filipino",3.08265192521786
"Gwinnett County, Georgia","Filipino",2.67553325944506
"Los Angeles County, California","Filipino",23.2743161755902
"Orange County, California","Filipino",12.9134207578751
"San Bernardino County, California","Filipino",29.3759218350608
"Forsyth County, Georgia","Hmong",0.0422281085646282
"Gwinnett County, Georgia","Hmong",1.22207314939042
"Los Angeles County, California","Hmong",0.0603414496097874
"Orange County, California","Hmong",0.171629393775406
"San Bernardino County, California","Hmong",0.220906718634249
"Forsyth County, Georgia","Indonesian",0.418442166685861
"Gwinnett County, Georgia","Indonesian",0.64360574772988
"Los Angeles County, California","Indonesian",0.69749817683106
"Orange County, California","Indonesian",0.444883524836708
"San Bernardino County, California","Indonesian",3.48645528140579
"Forsyth County, Georgia","Japanese",0.948212983223924
"Gwinnett County, Georgia","Japanese",1.52054288436485
"Los Angeles County, California","Japanese",6.70014585351518
"Orange County, California","Japanese",5.404516794825
"San Bernardino County, California","Japanese",3.21282460273497
"Forsyth County, Georgia","Korean",10.9601136320012
"Gwinnett County, Georgia","Korean",22.8645316844582
"Los Angeles County, California","Korean",14.4805193038216
"Orange County, California","Korean",14.786241961263
"San Bernardino County, California","Korean",9.47296061720403
"Forsyth County, Georgia","Laotian",0.119006487773043
"Gwinnett County, Georgia","Laotian",1.13651830679189
"Los Angeles County, California","Laotian",0.246399921630947
"Orange County, California","Laotian",0.34640506424697
"San Bernardino County, California","Laotian",0.732796305318446
"Forsyth County, Georgia","Malaysian",0
"Gwinnett County, Georgia","Malaysian",0.159443115751813
"Los Angeles County, California","Malaysian",0.0497289736919443
"Orange County, California","Malaysian",0.0715777948375892
"San Bernardino County, California","Malaysian",0.138817515033003
"Forsyth County, Georgia","Mongolian",0
"Gwinnett County, Georgia","Mongolian",0.0583328472262731
"Los Angeles County, California","Mongolian",0.178235172466339
"Orange County, California","Mongolian",0.023911702890799
"San Bernardino County, California","Mongolian",0.0480522167421932
"Forsyth County, Georgia","Nepalese",1.32826596030558
"Gwinnett County, Georgia","Nepalese",0.846798498901398
"Los Angeles County, California","Nepalese",0.133268207199068
"Orange County, California","Nepalese",0.197900804188324
"San Bernardino County, California","Nepalese",0.135480555537017
"Forsyth County, Georgia","Okinawan",0
"Gwinnett County, Georgia","Okinawan",0
"Los Angeles County, California","Okinawan",0.00503412319179737
"Orange County, California","Okinawan",0.00424747353981298
"San Bernardino County, California","Okinawan",0.00333695949598564
"Forsyth County, Georgia","Pakistani",1.81964758723943
"Gwinnett County, Georgia","Pakistani",4.73176612417119
"Los Angeles County, California","Pakistani",0.784710959694361
"Orange County, California","Pakistani",0.899992448935929
"San Bernardino County, California","Pakistani",1.66647757229523
"Forsyth County, Georgia","Sri Lankan",0.126684325693885
"Gwinnett County, Georgia","Sri Lankan",0.0359719224562018
"Los Angeles County, California","Sri Lankan",0.360211922980636
"Orange County, California","Sri Lankan",0.287097748524396
"San Bernardino County, California","Sri Lankan",0.234921948517389
"Forsyth County, Georgia","Taiwanese",0.414603247725441
"Gwinnett County, Georgia","Taiwanese",0.573606331058352
"Los Angeles County, California","Taiwanese",1.7019418109782
"Orange County, California","Taiwanese",1.82232346241458
"San Bernardino County, California","Taiwanese",1.47627088102405
"Forsyth County, Georgia","Thai",0.353180544358709
"Gwinnett County, Georgia","Thai",0.817632075288261
"Los Angeles County, California","Thai",1.66323348535478
"Orange County, California","Thai",0.684000553744698
"San Bernardino County, California","Thai",1.74923416779567
"Forsyth County, Georgia","Vietnamese",2.22273407808361
"Gwinnett County, Georgia","Vietnamese",19.924556184254
"Los Angeles County, California","Vietnamese",6.34605651279484
"Orange County, California","Vietnamese",32.974080972577
"San Bernardino County, California","Vietnamese",7.95597883032896
"Forsyth County, Georgia","Other Asian, specified",0
"Gwinnett County, Georgia","Other Asian, specified",0.265414454879543
"Los Angeles County, California","Other Asian, specified",0.0180956320137581
"Orange County, California","Other Asian, specified",0.0306761977875382
"San Bernardino County, California","Other Asian, specified",0.0280304597662794
"Forsyth County, Georgia","Other Asian, not specified",0.441475680448386
"Gwinnett County, Georgia","Other Asian, not specified",0.503606914386824
"Los Angeles County, California","Other Asian, not specified",0.438785061987744
"Orange County, California","Other Asian, not specified",0.284108785663046
"San Bernardino County, California","Other Asian, not specified",1.42020996149149
