"County","group","percentage"
"Broome County, New York","Mexican",14.8984198645598
"Chenango County, New York","Mexican",10.019267822736
"Cortland County, New York","Mexican",14.3974960876369
"Herkimer County, New York","Mexican",19.4041252864782
"Kings County, New York","Mexican",20.3002729936569
"Madison County, New York","Mexican",25.016160310278
"Miami-Dade County, Florida","Mexican",3.3731820728352
"Monroe County, Florida","Mexican",12.896847193233
"Oneida County, New York","Mexican",8.85044989140552
"Oswego County, New York","Mexican",15.8597662771285
"Richmond County, New York","Mexican",20.3067512877116
"Tioga County, New York","Mexican",25.3505933117584
"Broome County, New York","Puerto Rican",48.0561825934286
"Chenango County, New York","Puerto Rican",41.907514450867
"Cortland County, New York","Puerto Rican",29.3427230046948
"Herkimer County, New York","Puerto Rican",55.2330022918258
"Kings County, New York","Puerto Rican",32.4181469679278
"Madison County, New York","Puerto Rican",29.2824822236587
"Miami-Dade County, Florida","Puerto Rican",5.43143159630828
"Monroe County, Florida","Puerto Rican",9.11787322860595
"Oneida County, New York","Puerto Rican",56.833695314924
"Oswego County, New York","Puerto Rican",48.914858096828
"Richmond County, New York","Puerto Rican",47.1900294334069
"Tioga County, New York","Puerto Rican",47.7885652642934
"Broome County, New York","Cuban",4.33910208176574
"Chenango County, New York","Cuban",6.55105973025048
"Cortland County, New York","Cuban",6.10328638497653
"Herkimer County, New York","Cuban",5.72956455309396
"Kings County, New York","Cuban",1.72168266640496
"Madison County, New York","Cuban",3.2967032967033
"Miami-Dade County, Florida","Cuban",53.4069913732102
"Monroe County, Florida","Cuban",51.4390860155993
"Oneida County, New York","Cuban",1.90816009928638
"Oswego County, New York","Cuban",1.669449081803
"Richmond County, New York","Cuban",1.68897167034584
"Tioga County, New York","Cuban",6.47249190938511
"Broome County, New York","Dominican",7.23601705543015
"Chenango County, New York","Dominican",4.52793834296724
"Cortland County, New York","Dominican",1.79968701095462
"Herkimer County, New York","Dominican",3.59052711993888
"Kings County, New York","Dominican",18.814730841874
"Madison County, New York","Dominican",0
"Miami-Dade County, Florida","Dominican",3.77352970179547
"Monroe County, Florida","Dominican",1.96638470833791
"Oneida County, New York","Dominican",13.3260937015203
"Oswego County, New York","Dominican",5.4424040066778
"Richmond County, New York","Dominican",8.47130242825607
"Tioga County, New York","Dominican",6.04099244875944
"Broome County, New York","Central American",7.2736393278154
"Chenango County, New York","Central American",14.8362235067437
"Cortland County, New York","Central American",1.72143974960876
"Herkimer County, New York","Central American",10.1604278074866
"Kings County, New York","Central American",10.3174778029919
"Madison County, New York","Central American",4.46024563671623
"Miami-Dade County, Florida","Central American",13.1799380813005
