"districtDemographics","sex_ratio","minors","voting_age_pop","seniors","med_age","white","black","amerindian","islander","asian","other_race","multiracial","hispanic","mexican","puerto_rican","cuban","other_hispanic","natural_born_citizen","born_in_state","born_out_of_state","born_abroad","foreign_born","disabled","same_house","diff_county","diff_state","abroad","labor_force_participation","unemployment","servicemen","car","walking_public_transit","worked_from_home","commute","private_sector","public_sector","self_employed","homeowner_vacancy","rental_vacancy","owner_occupied","renter_occupied","two_or_less","three_to_four","five_to_nine","ten_to_nineteen","twenty_to_twenty_nine","thirty_or_more","med_smoc_mort","med_smoc_no_mort","med_rent","med_hincome","mean_hincome","insured","private_coverage","public_coverage","uninsured","pov_families","pov_mcouples","pov_single_mothers","pov","no_hsdiploma","high_school","some_college","associates","bachelors","graduate","party","flipped"
"Alabama 1",93.0813056922866,22.5004808777901,556011,23.5878426865656,40.4,66.8984636999992,27.4087795739841,1.02587261895801,0.0192351116054628,1.4157320911354,1.14393160105821,2.08798530325965,3.29352501540203,46.5868212789369,13.1237039231453,4.96423885902916,35.3252359388887,96.8503201670388,70.3596938004522,28.8919335502655,0.748372649282354,3.14967983296118,13.0619036990787,88.486729199138,3.40449356013077,1.77075303425031,0.107331153887273,56.1829334602643,5.7,0.108574615081275,93.4147118563065,1.20872993747262,3.8080635097641,25,78.7489567520323,15.6819063015463,5.35424429417293,2.2,20.9,69.0620184827988,30.9379815172012,25.163319442009,13.5225886364739,14.3168938153138,21.8458174926222,11.4963455992359,13.6550350143452,1220,365,872,50663,68866,89.8105115650948,70.8843079459053,43.4610411875918,10.1894884349052,11.1,4.3,27.7,15.4,11.8272833512042,33.5905529519013,20.6837905457232,8.93321124939259,16.0865671521913,8.87859474958736,"R",FALSE
"Alabama 2",93.2356637930788,22.5075564511349,523012,23.0076938961248,39,62.8392994725301,32.2272269305992,0.310851656492621,0.0450423753926391,1.25318556273336,1.3926094944586,1.93178450779352,3.86890298109406,55.8976715686275,17.6240808823529,1.76547181372549,24.7127757352941,97.0981745984709,70.0363936002197,28.8286143728017,1.13499202697857,2.90182540152907,15.7115253867912,85.2527803743918,6.79049519426668,2.98545696411879,0.547536013038997,56.9797071819317,4.5,1.6627962532917,94.0336903812882,2.02358117822344,3.09890239954328,23.5,75.6512105680169,19.5440298978397,4.75112011723543,1.8,8.5,65.5538179876421,34.4461820123579,27.1187733618125,13.170722404455,13.5010298268365,21.6584026241513,11.3536501640095,13.1974216187352,1092,347,815,50494,66203,89.5978845235958,72.3354362188485,44.4976969892138,10.4021154764042,13,5.1,32.5,16.4,13.3804691507113,31.9294304530276,21.8309386693329,9.35704407783253,14.8070959099182,8.69502173917748,"R",FALSE
"Alabama 3",94.9421741645192,21.6821099435016,562241,21.3239518284864,38.9,68.8757145881855,26.2730256193098,0.298371909023034,0.0520966825278313,1.84413898391968,0.971728495492383,1.68492372154184,2.9476414411001,50.2859033126979,13.8556778980199,0.751382259817589,35.1070365294646,96.7556582011879,66.318987050194,32.5894573174682,1.0915556323378,3.24434179881208,16.8040809484711,86.0178517090983,5.99057826464257,2.5133549717686,0.322322525385716,58.1718059390475,5.9,0.737974862893221,93.9745030666966,2.21283838027038,2.85507851385633,26,75.470111970235,19.0403738520893,5.27119938884645,1.8,6.8,71.6436992364881,28.3563007635119,26.8267701872251,11.5683507857153,16.2403844776461,20.5317365955679,11.6163388674813,13.2164190863642,1141,350,771,51925,69896,91.4795569028658,75.0710432408762,40.2747626456969,8.52044309713419,10.8,6.1,30.1,15,14.9203762348937,30.9027456257858,20.5069005891274,9.71988155720585,13.5684492759886,10.3816467169987,"R",FALSE
"Alabama 4",96.3455804229359,22.4575352787754,533068,24.123939159732,41.1,86.818298850976,7.39628745528785,0.476687133520401,0.104879897243884,0.474068772701552,2.95322007468147,1.77655781558885,6.94316556913709,50.6735664452871,6.90536548574302,1.311516624416,41.1095514445539,95.9035744989112,77.3987853636932,21.9427810439077,0.658433592399119,4.0964255010888,16.8551504541235,89.9796650471294,3.90278067973479,1.05265016523988,0.15626425433111,55.9398159770353,4.3,0.0662162506321469,96.1658547042532,1.08811031163452,2.13334624174927,26.8,79.8477547742524,13.8038166795976,6.09287162943907,1.3,7.7,73.9242576988188,26.0757423011812,21.7526106556597,12.1408327468472,16.5495596599015,20.9689384284709,13.1341182736386,15.4539402354821,1066,342,661,47531,63030,88.5724482722156,72.6966413239037,43.9005745649308,11.4275517277844,10.9,6.6,27.7,15.6,17.0576980118396,34.2382199718424,21.9840245313682,9.18317896786107,11.475892666909,6.06098585017985,"R",FALSE
"Alabama 5",95.1707144997918,21.6112347762748,576830,21.8050378794446,39.7,75.0166472335695,18.3457949767482,0.54426261588513,0.0482430034055484,1.65521065205515,1.77425535905025,2.61558615928617,5.46314642227169,69.1450461431308,10.0718887589861,2.61933782741723,18.1637272704659,95.758692573839,61.8314392434237,36.7315312042325,1.43702955234387,4.24130742616103,13.4701807270565,84.8915522524715,5.78030549861768,2.85537138387217,0.233983731119424,60.3939466811514,4.3,0.297654582787493,93.7165617855712,1.17696622593038,3.98253552994414,23.3,79.187066488561,15.6875239317314,5.02544436292635,0.8,5.2,69.5435039195486,30.4564960804514,29.2523179576047,12.2560089511711,14.2352274975609,20.5167390992884,11.9172698928179,11.8224366015569,1192,370,783,59950,80182,90.6561207981305,80.2942576142132,37.0849704705193,9.34387920186949,9.8,4.5,29.1,13.2,10.6591501456522,27.1575599611594,19.9844323100329,8.74581814893876,20.8695498342985,12.5834895999182,"R",FALSE
"Alabama 6",92.602370897318,22.6915187856004,540854,21.4050372189167,39.9,78.5932061663367,15.9644370752067,0.388933755476304,0,1.58232145281981,1.78529312969461,1.68580842046583,5.08315406550839,59.3498678364546,9.88414599853776,7.2521230526967,23.5138631123109,95.6331072533787,75.6466593130001,23.7465137343174,0.606826952682444,4.36689274662131,12.3107344469797,87.5661134876571,5.03423237563585,1.51622191305453,0.207460187436523,62.9370191559504,3.3,0.134157837590311,93.0667946783706,0.924308110654589,5.1096348684799,28.7,81.3232643347746,13.424382370613,5.03616828265454,1.3,8.3,75.8986310419496,24.1013689580504,26.1610452526884,12.8061804969354,14.891547693324,22.5191764230925,11.8464418101075,11.7756083238522,1414,415,1026,69072,96777,92.7872120091499,81.7678046536065,32.1476258648374,7.21278799085006,6.3,3.8,16.5,9.5,9.0487482554621,23.6596391122309,20.8578803710154,7.97156042996941,23.8506634390142,14.611508392308,"R",FALSE
"Alabama 7",89.2312862920536,21.5581740707298,525572,21.4606181455633,36.8,34.2016223517384,62.5741214748924,0.248054148041462,0,1.15907852809265,0.600135817854824,1.21698767938031,3.71633470892443,60.2168674698795,2.20883534136546,2.53413654618474,35.0401606425703,97.0811101244002,82.1339732926645,17.4629261228242,0.403100584511221,2.9188898755998,16.7230135640609,83.6556950400353,5.57337083352844,2.4172218941123,0.193794644138354,54.7987088310177,6.8,0.0248301727364703,92.5616467782197,3.14326348303371,2.35105886535855,24.5,78.6120517259526,16.9136461134763,4.34618497508429,0.9,8.4,55.1535552251912,44.8464447748088,27.3969173413032,12.1076388621431,14.0383445152246,18.9176802261541,11.5603552529213,15.9790638022538,1081,366,789,38023,53378,88.8735406355084,64.7517064759359,48.7181449322681,11.1264593644916,18.1,6,37.1,23.7,13.6112598589568,35.6753555577742,20.1238439267011,9.02395193276396,12.8254930612912,8.74009566251282,"D",FALSE
"Alaska At Large",108.350896580009,24.5711473661907,551796,16.4169366939956,35,64.2162819785522,3.08265383537581,15.7945170837064,1.3564442378801,5.9706511561148,1.7226554757397,7.85679623263094,7.18315346287652,54.2170967496384,12.4400548070336,3.06386541828424,30.2789830250438,92.0199030818337,46.6102764989965,50.6930672478003,2.69665625320314,7.98009691816635,10.7636743877626,84.3918051471963,6.89025749830693,4.71302365583059,0.594823443383749,66.3030828560345,5.8,3.34685509365472,81.9585433276827,8.03433854281312,4.32833730214316,20.2,70.4465239296946,23.5655052646216,5.78738561762783,1.7,9.2,64.7393526540549,35.2606473459451,31.2947315413622,12.3711830736839,16.0282158137027,19.5389355231385,10.7795827897811,9.98735125833171,1882,577,1201,75463,98504,87.7882658989022,73.8240919325032,40.0932882493927,12.2117341010978,6.6,3.3,20.5,10.1,6.42278404653988,28.7477946857608,25.6706840915758,8.96462820571089,18.506666556487,11.6874424139256,"R",FALSE
"Arizona 1",104.103533046959,22.710359959493,604473,25.6105731769657,39,64.1913697691308,2.8170742934299,23.0177422489541,0.188469839711132,1.60084287190188,4.46011190556561,3.72438907130655,23.022345311525,86.8978923106828,1.95606897892311,0.545388908944489,10.6006498014496,93.5996972207731,55.9583460832313,42.9865087865011,1.05514513026753,6.40030277922689,14.9014368606494,85.2275591599526,7.5445016500285,3.23090187339311,0.294070884655704,52.0418611219885,6.9,0.100143153353833,85.0924249385185,4.48646055725211,8.00644542334405,26.1,69.1708168404707,23.3227049068824,7.29214016251207,1.9,8.3,72.0845603548437,27.9154396451563,26.6293505981045,13.3994402589716,17.6709365797339,22.6253023405359,10.4023412666516,9.2726289560026,1358,352,971,56117,73110,86.8823922354513,65.1805083813116,50.3141013174617,13.1176077645487,12.2,5.6,31.4,18,12.0595128404134,25.6840765110473,28.3926639317625,8.68854590012884,14.9470287547265,10.2281720619215,"D",FALSE
"Arizona 2",97.8971319373593,18.9048782250882,594587,27.4814282855158,41.5,81.8121187075234,4.31671160683964,1.37807437837307,0.235680178724136,2.82666186577414,4.64936435910131,4.78138890366436,29.3586853192253,87.0271350060625,2.96575721114761,0.519843721690816,9.48726406109906,88.4456701268554,42.2718630152618,55.4171980366426,2.31093894809563,11.5543298731446,15.1256092035788,82.6609196351406,5.96970147364017,4.28508909550311,0.953985214054905,57.8957650017565,4.7,1.82989089930101,87.4766899236794,3.03917912144891,6.95557516381488,24,75.4722141134174,17.6784918647349,6.61698956780924,1.9,6.5,62.4658870340048,37.5341129659952,34.8406016154609,13.2602145120191,14.9050650285984,19.2482713405871,9.95824088517697,7.78760661815762,1351,430,883,54835,78700,91.6285936483337,70.9242985543635,47.4487634686034,8.37140635166625,8.4,4.7,20.3,13.1,8.83783285444292,21.3395614695533,25.5915705044483,8.90851400562376,20.5342188964521,14.7883022694796,"D",FALSE
