CONGRESSIONAL DISTRICTS BY LAND AREA (NATIONAL)
State,Congressional District,Land Area
01,01,6066.83
01,02,10141.63
01,03,7543.86
01,04,8888.77
01,05,3677.31
01,06,4170.78
01,07,10156.13
04,01,55039.61
04,02,7838.12
04,03,15688.79
04,04,33199.45
04,05,293.47
04,06,625.07
04,07,205.12
04,08,539.66
04,09,164.79
05,01,19318.29
05,02,4978.12
05,03,5400.99
05,04,22338.08
06,01,28089.47
06,02,12952.23
06,03,6183.59
06,04,12836.20
06,05,1730.82
06,06,175.04
06,07,548.65
06,08,32867.21
06,09,1245.28
06,10,1818.79
06,11,493.61
06,12,38.97
06,13,96.79
06,14,259.50
06,15,599.45
06,16,2839.51
06,17,184.85
06,18,696.12
06,19,915.34
06,20,4874.22
06,21,6729.94
06,22,1165.12
06,23,9898.00
06,24,6883.35
06,25,1690.50
06,26,939.12
06,27,699.90
06,28,218.45
06,29,92.03
06,30,135.94
06,31,218.24
06,32,124.23
06,33,288.58
06,34,47.66
06,35,168.88
06,36,5912.64
06,37,55.26
06,38,101.46
06,39,204.40
06,40,57.69
06,41,316.54
06,42,935.96
06,43,72.03
06,44,79.36
06,45,330.39
06,46,71.72
06,47,216.21
06,48,145.47
06,49,553.08
06,50,2787.35
06,51,4791.61
06,52,267.00
06,53,135.43
08,01,189.62
08,02,7538.05
08,03,49731.77
08,04,38102.74
08,05,7265.72
08,06,474.66
08,07,339.33
09,01,675.45
09,02,1987.68
09,03,470.34
09,04,460.73
09,05,1248.16
12,01,4016.30
12,02,11002.06
12,03,3560.21
12,04,1569.15
12,05,3817.45
12,06,2171.24
12,07,392.67
12,08,1752.06
12,09,2313.12
12,10,436.46
12,11,2386.23
12,12,858.62
12,13,181.74
12,14,275.75
12,15,1087.32
12,16,1293.24
12,17,5571.56
12,18,1512.84
12,19,750.37
12,20,2160.92
12,21,256.85
12,22,167.31
12,23,190.26
12,24,102.33
12,25,3500.99
12,26,2184.68
12,27,113.02
13,01,7982.81
13,02,9626.23
13,03,3838.27
13,04,496.60
13,05,264.91
13,06,298.76
13,07,392.61
13,08,8711.64
13,09,5210.81
13,10,7096.22
13,11,1071.25
13,12,8185.27
13,13,714.95
13,14,3623.16
15,01,209.22
15,02,6213.40
16,01,39418.02
16,02,43225.09
17,01,258.38
17,02,1080.67
17,03,237.18
17,04,52.45
17,05,95.71
17,06,378.78
17,07,62.52
17,08,205.52
17,09,105.35
17,10,299.78
17,11,280.95
17,12,5008.21
17,13,5793.65
17,14,1597.60
17,15,14695.67
17,16,7917.49
17,17,6933.08
17,18,10515.95
18,01,1157.02
18,02,3958.58
18,03,4180.37
18,04,6352.55
18,05,1924.76
18,06,6206.83
18,07,303.84
18,08,7255.39
18,09,4486.77
19,01,12048.84
19,02,12261.92
19,03,8789.62
19,04,22756.75
20,01,52542.50
20,02,14143.34
20,03,757.20
20,04,14315.68
21,01,12079.50
21,02,7177.44
21,03,319.34
21,04,4382.19
21,05,11235.15
21,06,4292.72
22,01,4030.23
22,02,1268.48
22,03,6983.32
22,04,12435.10
22,05,14452.88
22,06,4033.89
23,01,3285.52
23,02,27557.40
24,01,3977.06
24,02,348.88
24,03,304.14
24,04,297.81
24,05,1481.24
24,06,1950.26
24,07,488.03
24,08,859.85
25,01,2350.29
25,02,1628.00
25,03,757.86
25,04,668.27
25,05,265.08
25,06,526.79
25,07,62.67
25,08,326.37
25,09,1214.74
26,01,25027.75
26,02,3281.19
26,03,2628.74
26,04,8457.80
26,05,2348.70
26,06,3546.74
26,07,4227.73
26,08,1503.18
26,09,183.59
26,10,4140.44
26,11,419.26
26,12,403.21
26,13,184.85
26,14,185.73
27,01,11973.99
27,02,2437.91
27,03,527.05
27,04,332.49
27,05,135.66
27,06,2882.27
27,07,33429.25
27,08,27908.13
28,01,10572.80
28,02,15551.51
28,03,12754.48
28,04,8044.48
29,01,225.36
29,02,465.76
29,03,6851.54
29,04,14401.38
